frame,timestamp_sec,track_id,x,y
305,2.53341,1,1672.93,308.008
309,2.56675,1,1663.22,302.859
313,2.60008,1,1649.43,297.206
316,2.62508,1,1647.7,301.825
321,2.66675,1,1639.32,295.76
324,2.69175,1,1628.26,293.63
327,2.71675,1,1609.87,284.575
332,2.75842,1,1602.6,281.527
335,2.78342,1,1606.3,288.274
339,2.81676,1,1591.04,282.982
342,2.84176,1,1582.21,282.774
347,2.88343,1,1568.34,279.12
351,2.91676,1,1572.94,282.661
355,2.95009,1,1565.89,283.317
358,2.9751,1,1541.82,277.588
365,3.03343,1,1539.52,277.993
366,3.04176,1,1529.23,280.027
370,3.0751,1,1524.21,277.767
374,3.10843,1,1519.86,280.991
377,3.13343,1,1506.75,280.059
385,3.2001,1,1486.98,278.749
393,3.26677,1,1474.92,282.289
396,3.29177,1,1464.13,283.03
400,3.32511,1,1444.77,283.031
403,3.35011,1,1440.05,287.85
408,3.39178,1,1427.76,283.705
411,3.41678,1,1419.76,284.134
414,3.44178,1,1417.02,288.7
419,3.48344,1,1409.73,288.531
423,3.51678,1,1400.61,288.573
426,3.54178,1,1391.05,289.471
430,3.57511,1,1383,292.5
438,3.64178,1,1355.88,294.743
453,3.76679,1,1329.61,297.805
457,3.80012,1,1318.28,299.874
464,3.85846,1,1306.45,305.199
468,3.89179,1,1282.05,305.082
472,3.92513,1,1270.79,309.216
479,3.98346,1,1251.73,312.712
484,4.02513,1,1244.06,313.146
488,4.05846,1,1231.15,319.214
495,4.1168,1,1186.33,324.727
498,4.1418,1,1177.71,326.396
502,4.17513,1,1171.39,326.61
507,4.2168,1,1162.48,327.931
510,4.2418,1,1168.47,330.345
514,4.27514,1,1149.83,332.256
518,4.30847,1,1142,334
522,4.34181,1,1124.03,335.18
525,4.36681,1,1119.95,338.825
529,4.40014,1,1113.42,339.814
536,4.45848,1,1084.79,342.632
537,4.46681,1,1085.11,340.057
540,4.49181,1,1073.31,340.378
545,4.53348,1,1067.47,343.309
548,4.55848,1,1056,344.5
552,4.59181,1,1045.5,346.5
556,4.62515,1,1041.5,348.5
567,4.71682,1,993.281,352.971
570,4.74182,1,985.843,355.235
575,4.78349,1,972.661,354.192
578,4.80849,1,975.993,353.373
582,4.84182,1,967.739,352.471
589,4.90016,1,952.972,354.224
592,4.92516,1,950.424,354.192
597,4.96683,1,947.862,355.873
600,4.99183,1,940.779,356.66
612,5.09183,1,887.5,354.5
624,5.19183,1,868.737,348.684
627,5.21683,1,863.222,355.572
630,5.24183,1,854.28,356.403
635,5.2835,1,844.439,355.853
638,5.3085,1,828.797,354.216
642,5.34184,1,823.885,354.722
646,5.37517,1,808.989,353.332
649,5.40017,1,798.502,351.122
654,5.44184,1,788.757,353.02
657,5.46684,1,776.528,350.609
662,5.50851,1,766.715,352.271
665,5.53351,1,761.5,353.5
669,5.56684,1,748.466,352.673
672,5.59185,1,741.981,353.472
676,5.62518,1,727.521,352.878
687,5.71685,1,704.57,354.047
699,5.81685,1,644,351.5
703,5.85019,1,652.907,357.617
711,5.91686,1,624.793,352.866
713,5.93352,1,636.488,354.11
714,5.94186,1,619.211,351.496
717,5.96686,1,614.049,355.645
722,6.00853,1,606.167,350.504
725,6.03353,1,599,352
733,6.1002,1,578.941,354.413
741,6.16686,1,563.353,352.12
744,6.19186,1,553.5,353.5
747,6.21687,1,546.948,348.112
752,6.25853,1,537.53,353.207
756,6.29187,1,528.618,349.418
760,6.3252,1,515.643,348.282
764,6.35854,1,506.916,345.295
767,6.38354,1,490.103,342.726
771,6.41687,1,479.04,345.217
774,6.44187,1,466.927,344.286
778,6.47521,1,457.276,340.908
782,6.50854,1,448.051,341.984
790,6.57521,1,432.1,341.98
1134,9.44197,4,1657.33,209.903
1139,9.48364,4,1649.26,211.194
1146,9.54197,4,1642.46,217.168
1151,9.58364,4,1627.59,210.064
1155,9.61697,4,1624.68,212.146
1177,9.80031,4,1614.35,231.731
1184,9.85865,4,1607.33,232.106
1197,9.96699,4,1601.83,243.251
1211,10.0837,4,1589.2,249.982
1215,10.117,4,1586.29,254.134
